,name,counts
0,Dante,35
1,Casey,25
2,Arnall,22
3,Dixon,20
4,Charles,20
5,Michael,14
6,Davin,14
7,Dedalus,13
8,Moynihan,9
9,John,9
10,Simon,8
11,Stevie,7
12,Glynn,7
13,Simon Moonan,7
14,Nasty Roche,6
15,Francis Xavier,5
16,Wallis,5
17,Donovan,5
18,Goggins,4
19,Dolan,4
20,Athy,4
21,Wells,4
22,Jack Lawton,4
23,Eileen,4
24,Cecil Thunder,4
25,Stephen Dedalus,4
26,Doyle,3
27,Peter Parley,3
28,Josephine,3
29,Mike Flynn,3
30,Tennyson,3
31,Rody Kickham,3
32,Riordan,3
33,Maurice,3
34,Hamilton Rowan,2
35,Corrigan,2
36,Thomas,2
37,Aristotle,2
38,Johnny,2
39,Michael Davitt,2
40,Wolsey,2
41,Walter Scott,2
42,Lynch,2
43,Moran,2
44,Newman,2
45,Byron,2
46,Towser,2
47,Stephen,2
48,Johnny Cashman,2
49,Vincent Heron,2
50,Fonsy Davin,1
51,Jove,1
52,Jean-Jacques Rousseau,1
53,Micky Mud,1
54,Gerhart Hauptmann,1
55,Fianna,1
56,Cripes,1
57,Luigi Galvani,1
58,Tara,1
59,Dante Alighieri,1
60,Willie,1
61,Dan Crosby,1
62,Hickey,1
63,Elizabethan English,1
64,Louis Veuillot,1
65,John Alphonsus Mulrennan,1
66,Leicester Abbey,1
67,Christopher,1
68,Bertie Tallon,1
69,Lordin,1
70,Barrett,1
71,Augustine,1
72,James,1
73,Ben Jonson,1
74,Brigid,1
75,Saint Augustine,1
76,Cardinal Newman,1
77,Oona,1
78,Dundrum,1
79,Tallon,1
80,Elizabeth,1
81,W. S. Gilbert,1
82,Tom Furlong,1
83,Wolfe Tone,1
84,Mat Davin,1
85,Afraid,1
86,Baldwin,1
87,Gleeson,1
88,Shelley,1
89,jack,1
90,Moycullen,1
91,Thoth,1
92,Marx,1
93,Roman,1
94,Aloysius Gonzago,1
95,Peter Byrne,1
96,Simon Dedalus,1
97,John Stephen Dedalus,1
98,Bruno,1
99,Dwyer,1
100,Keogh,1
101,Lady Boyle,1
102,Baldyhead Dolan,1
103,Rosie first,1
104,Maundy,1
105,Scott,1
106,James Joyce,1
107,William Ewart Gladstone,1
108,Hackett,1
109,Jimmy Magee,1
110,Forster,1
111,Bertie,1
112,Ally Daly,1
113,Michael Robartes,1
114,Marryat,1
115,Daly,1
116,Plato,1
117,Buck Egan,1
118,Mooney,1
119,Met Davin,1
120,Collins,1
121,Alphonsus Liguori,1
122,Foxy Campbell,1
123,Ellen,1
124,Betty Byrne,1
125,Aubrey Mills,1
126,Christy,1
127,Quaid,1
128,Suarez,1
129,Lee,1
130,Francis,1
131,Patrick Dun,1
132,John Anthony Collins,1
133,Cornelius Agrippa,1
134,Little,1
135,Crokes,1
136,Bishop Lanigan,1
137,Mick Lacy,1
138,Tullabeg,1
139,Juan Mariana de Talavera,1
140,F. W. Martino,1
141,L. D. S.,1
142,Ballyhoura,1
